number,value,state,latent_dim,n_conv_blocks,filters_base,kernel_size,learning_rate,n_clusters,umap_n_neighbors,umap_n_components,umap_min_dist,best_val_loss,cluster_counts,davies_bouldin,epochs_run,objective_composite,silhouette,trial_seed,umap_seed
10,0.5045271819413337,TrialState.COMPLETE,128,2,16,3,0.0029139910897491472,2,30,5,0.1,1.08234041929245,"{'0': 56, '1': 66}",2.008746522997287,20,0.5045271819413337,0.1566225290298462,1052,42
11,0.451343371080646,TrialState.COMPLETE,16,3,64,7,0.0016147402037479386,5,10,5,0.3,1.1140977144241333,"{'0': 32, '1': 30, '2': 23, '3': 13, '4': 23}",2.019896648406555,20,0.451343371080646,0.005720637273043394,1053,42
12,0.5017730764054134,TrialState.COMPLETE,64,1,64,3,0.0006056521316342275,6,10,3,0.1,1.0753716230392456,"{'0': 30, '1': 15, '2': 12, '3': 34, '4': 22, '5': 10}",1.6308965595602152,20,0.5017730764054134,0.10783859342336655,1054,42
13,0.6620414883033776,TrialState.COMPLETE,64,2,64,3,0.00010017430628135199,3,5,3,0.05,1.2675777673721313,"{'0': 32, '1': 32, '2': 59}",0.8467336984027437,20,0.6620414883033776,0.4274071753025055,1055,42
14,0.733915061115624,TrialState.COMPLETE,64,2,32,3,0.00015061445693555597,3,5,2,0.05,1.3846966624259949,"{'0': 80, '1': 37, '2': 5}",0.5621697248640098,20,0.733915061115624,0.5482127666473389,1056,42
15,0.7093816041653033,TrialState.COMPLETE,64,2,32,3,0.000146303041947324,3,5,2,0.3,1.3667091131210327,"{'0': 33, '1': 27, '2': 62}",0.636221806613322,20,0.7093816041653033,0.5029496550559998,1057,42
16,0.7308004285682203,TrialState.COMPLETE,64,2,32,3,0.00011260731346365412,3,5,2,0.05,1.4308697581291199,"{'0': 40, '1': 57, '2': 24}",0.6063804027351415,20,0.7308004285682203,0.5544147491455078,1058,42
17,-999.0,TrialState.COMPLETE,64,2,32,3,0.00011013766659765988,3,5,2,0.05,1.386657178401947,"{'0': 59, '1': 48, '2': 14}",,20,-999.0,,1059,42
18,0.6860321746331502,TrialState.COMPLETE,64,2,64,3,0.00010312446910292724,3,5,2,0.05,1.3335866332054138,"{'0': 39, '1': 37, '2': 47}",0.6808957324721027,20,0.6860321746331502,0.4501597285270691,1060,42
19,0.739589484164193,TrialState.COMPLETE,64,2,32,3,0.0001232992511221566,3,5,2,0.05,1.368527889251709,"{'0': 68, '1': 17, '2': 37}",0.5478659993480627,20,0.739589484164193,0.5593550205230713,1061,42
20,0.6232976712518783,TrialState.COMPLETE,32,2,32,11,0.00019413580913431048,3,5,2,0.05,1.3163604140281677,"{'0': 52, '1': 46, '2': 23}",0.8880469722543799,20,0.6232976712518783,0.32686662673950195,1062,42
21,0.6015873222430199,TrialState.COMPLETE,32,2,32,11,0.00018856019703510925,3,5,2,0.05,1.304955244064331,"{'0': 49, '1': 33, '2': 40}",1.1095913167148634,20,0.6015873222430199,0.3125133812427521,1063,42
22,0.6160709601610322,TrialState.COMPLETE,32,2,32,11,0.00019585209152969896,3,5,2,0.05,1.341572344303131,"{'0': 56, '1': 42, '2': 23}",0.9319314180118092,20,0.6160709601610322,0.3165312707424164,1064,42
23,0.6199277929904884,TrialState.COMPLETE,32,1,32,11,0.00016953701532727668,4,5,2,0.05,1.2699317336082458,"{'0': 38, '1': 31, '2': 26, '3': 26}",0.8967567365690908,20,0.6199277929904884,0.3193230628967285,1065,42
24,0.6776466138755786,TrialState.COMPLETE,64,2,32,3,0.00019901825863185695,3,5,2,0.05,1.3608262538909912,"{'0': 43, '1': 36, '2': 44}",0.7823169045824537,20,0.6776466138755786,0.45521822571754456,1066,42
25,0.7489612488019527,TrialState.COMPLETE,64,2,32,3,0.0001592072629933905,3,5,2,0.05,1.4510209560394287,"{'0': 65, '1': 37, '2': 19}",0.5671544904662967,20,0.7489612488019527,0.5929471254348755,1067,42
26,0.7034377001284793,TrialState.COMPLETE,64,2,32,3,0.0002625249686071678,3,5,2,0.05,1.3596079349517822,"{'0': 30, '1': 37, '2': 56}",0.6964906750465706,20,0.7034377001284793,0.5045773386955261,1068,42
27,0.6711614557366629,TrialState.COMPLETE,64,2,32,3,0.00013525017529648198,3,5,2,0.05,1.36777925491333,"{'0': 47, '1': 38, '2': 36}",0.7724603353129499,20,0.6711614557366629,0.43401485681533813,1069,42
28,0.7164777931656606,TrialState.COMPLETE,64,2,32,3,0.00012765712595033871,3,15,2,0.05,1.3310831189155579,"{'0': 42, '1': 34, '2': 45}",0.5913245105013349,20,0.7164777931656606,0.5084445476531982,1070,42
29,0.6210981045077963,TrialState.COMPLETE,128,2,32,3,0.0002599971968209373,3,15,2,0.05,1.173250138759613,"{'0': 49, '1': 35, '2': 38}",0.9645092892459441,20,0.6210981045077963,0.3382520377635956,1071,42
30,-999.0,TrialState.COMPLETE,64,2,32,3,0.00014138426340756552,3,15,2,0.05,1.3784369230270386,"{'0': 34, '1': 67, '2': 21}",,20,-999.0,,1072,42
31,0.7059257776927115,TrialState.COMPLETE,64,1,32,3,0.0002483238020466524,4,15,2,0.1,1.1968761682510376,"{'0': 33, '1': 32, '2': 19, '3': 37}",0.6756774955839759,20,0.7059257776927115,0.5054106116294861,1073,42
32,0.6396930987426468,TrialState.COMPLETE,128,2,16,3,0.0003298507553485744,6,5,2,0.05,1.3807997107505798,"{'0': 10, '1': 14, '2': 25, '3': 32, '4': 22, '5': 19}",0.7312426245000051,20,0.6396930987426468,0.3325918912887573,1074,42
